"congress","chamber","num_results","offset","members__id","members__api_uri","members__name","members__party","members__state","members__district","members__total_votes","members__missed_votes","members__missed_votes_pct","members__rank","members__notes"
"","","","","F000448","https://api.propublica.org/congress/v1/members/F000448.json","Trent Franks","R","AZ","8","1325","40","3.02","180",""
"","","","","L000573","https://api.propublica.org/congress/v1/members/L000573.json","Raúl Labrador","R","ID","1","1325","40","3.02","181",""
"","","","","K000380","https://api.propublica.org/congress/v1/members/K000380.json","Dan Kildee","D","MI","5","1325","40","3.02","182",""
"","","","","S000480","https://api.propublica.org/congress/v1/members/S000480.json","Louise M. Slaughter","D","NY","25","1325","40","3.02","183",""
"","","","","C000984","https://api.propublica.org/congress/v1/members/C000984.json","Elijah E. Cummings","D","MD","7","1325","39","2.94","184",""
"","","","","L000564","https://api.propublica.org/congress/v1/members/L000564.json","Doug Lamborn","R","CO","5","1325","39","2.94","185",""
"","","","","C001096","https://api.propublica.org/congress/v1/members/C001096.json","Kevin Cramer","R","ND","1","1325","39","2.94","186",""
"","","","","N000015","https://api.propublica.org/congress/v1/members/N000015.json","Richard E. Neal","D","MA","1","1325","39","2.94","187",""
"","","","","S000051","https://api.propublica.org/congress/v1/members/S000051.json","Mark Sanford","R","SC","1","1325","39","2.94","188",""
"","","","","H001063","https://api.propublica.org/congress/v1/members/H001063.json","Janice Hahn","D","CA","44","1303","38","2.92","189","Running for county supervisor"
"","","","","C001037","https://api.propublica.org/congress/v1/members/C001037.json","Michael E. Capuano","D","MA","7","1325","38","2.87","190",""
"","","","","K000388","https://api.propublica.org/congress/v1/members/K000388.json","Trent Kelly","R","MS","1","1017","29","2.85","191",""
"","","","","D000624","https://api.propublica.org/congress/v1/members/D000624.json","Debbie Dingell","D","MI","12","1325","37","2.79","192",""
"","","","","S000018","https://api.propublica.org/congress/v1/members/S000018.json","Matt Salmon","R","AZ","5","1325","37","2.79","193","Announced retirement on Feb. 25, 2016."
"","","","","C001067","https://api.propublica.org/congress/v1/members/C001067.json","Yvette D. Clarke","D","NY","9","1325","37","2.79","194",""
"","","","","S001148","https://api.propublica.org/congress/v1/members/S001148.json","Mike Simpson","R","ID","2","1325","37","2.79","195",""
"","","","","S001156","https://api.propublica.org/congress/v1/members/S001156.json","Linda T. Sánchez","D","CA","38","1325","36","2.72","196",""
"","","","","Z000018","https://api.propublica.org/congress/v1/members/Z000018.json","Ryan Zinke","R","MT","1","1325","36","2.72","197",""
"","","","","C001083","https://api.propublica.org/congress/v1/members/C001083.json","John Carney","D","DE","1","1325","36","2.72","198","Running for governor"
"","","","","P000606","https://api.propublica.org/congress/v1/members/P000606.json","Robert Pittenger","R","NC","9","1325","36","2.72","199",""
"","","","","V000132","https://api.propublica.org/congress/v1/members/V000132.json","Filemon Vela","D","TX","34","1325","36","2.72","200",""
"","","","","L000583","https://api.propublica.org/congress/v1/members/L000583.json","Barry Loudermilk","R","GA","11","1325","35","2.64","201",""
"","","","","W000819","https://api.propublica.org/congress/v1/members/W000819.json","Mark Walker","R","NC","6","1325","35","2.64","202",""
"","","","","R000591","https://api.propublica.org/congress/v1/members/R000591.json","Martha Roby","R","AL","2","1325","35","2.64","203",""
"","","","","P000373","https://api.propublica.org/congress/v1/members/P000373.json","Joe Pitts","R","PA","16","1325","35","2.64","204","Announced retirement on Nov. 6, 2015"
"","","","","S001192","https://api.propublica.org/congress/v1/members/S001192.json","Chris Stewart","R","UT","2","1325","35","2.64","205",""
"","","","","R000575","https://api.propublica.org/congress/v1/members/R000575.json","Mike D. Rogers","R","AL","3","1325","34","2.57","206",""
"","","","","D000625","https://api.propublica.org/congress/v1/members/D000625.json","Daniel M. Donovan","R","NY","11","1109","28","2.52","207",""
"","","","","N000184","https://api.propublica.org/congress/v1/members/N000184.json","Kristi Noem","R","SD","1","1325","33","2.49","208",""
"","","","","B001278","https://api.propublica.org/congress/v1/members/B001278.json","Suzanne Bonamici","D","OR","1","1325","33","2.49","209",""
"","","","","C001107","https://api.propublica.org/congress/v1/members/C001107.json","Carlos Curbelo","R","FL","26","1325","32","2.42","210",""
"","","","","R000592","https://api.propublica.org/congress/v1/members/R000592.json","Todd Rokita","R","IN","4","1325","32","2.42","211",""
