id,api_uri,name,party,state,district,total_votes,votes_with_party,party_votes_pct,rank,notes
H000636,https://api.propublica.org/congress/v1/members/H000636.json,Rubén Hinojosa,D,TX,15,1325,967,94.53,200,"Announced retirement on Nov. 13, 2015"
L000551,https://api.propublica.org/congress/v1/members/L000551.json,Barbara Lee,D,CA,13,1325,1126,94.54,201,
H001065,https://api.propublica.org/congress/v1/members/H001065.json,George Holding,R,NC,13,1325,1245,94.6,202,Elected to 2nd District seat.
R000577,https://api.propublica.org/congress/v1/members/R000577.json,Tim Ryan,D,OH,13,1325,1194,94.61,203,
G000551,https://api.propublica.org/congress/v1/members/G000551.json,Raúl M. Grijalva,D,AZ,3,1325,1126,94.62,204,
R000515,https://api.propublica.org/congress/v1/members/R000515.json,Bobby L. Rush,D,IL,1,1325,952,94.63,205,
M001150,https://api.propublica.org/congress/v1/members/M001150.json,Candice S. Miller,R,MI,10,1325,1164,94.63,206,"Announced retirement on March 6, 2015"
R000487,https://api.propublica.org/congress/v1/members/R000487.json,Edward Royce,R,CA,39,1325,1242,94.66,207,
L000583,https://api.propublica.org/congress/v1/members/L000583.json,Barry Loudermilk,R,GA,11,1325,1222,94.73,208,
B001284,https://api.propublica.org/congress/v1/members/B001284.json,Susan Brooks,R,IN,5,1325,1240,94.73,209,
V000130,https://api.propublica.org/congress/v1/members/V000130.json,Juan Vargas,D,CA,51,1325,1242,94.74,210,
G000577,https://api.propublica.org/congress/v1/members/G000577.json,Garret Graves,R,LA,6,1325,1245,94.75,211,
C001048,https://api.propublica.org/congress/v1/members/C001048.json,John Culberson,R,TX,7,1325,1195,94.77,212,
R000588,https://api.propublica.org/congress/v1/members/R000588.json,Cedric Richmond,D,LA,2,1325,1181,94.78,213,
F000448,https://api.propublica.org/congress/v1/members/F000448.json,Trent Franks,R,AZ,8,1325,1218,94.79,214,
L000559,https://api.propublica.org/congress/v1/members/L000559.json,Jim Langevin,D,RI,2,1325,1238,94.79,215,
M001187,https://api.propublica.org/congress/v1/members/M001187.json,Mark Meadows,R,NC,11,1325,1239,94.8,216,
